customer_id,region,energy_consumption_kwh,peak_hours_usage,off_peak_usage,renewable_energy_pct,billing_amount,household_size,temperature_avg,income_bracket,smart_meter_installed,time_of_day_pricing,annual_energy_trend,solar_panel,target_high_usage
1,East,711.73,449.77,110.04,60.94,198.47,5,11.14,High,False,True,8.42,True,False
2,West,815.47,622.72,89.49,3.89,417.53,7,3.7,High,True,False,3.28,True,False
3,North,1310.91,493.87,442.72,61.23,497.47,3,-0.78,Low,True,False,7.99,False,True
4,East,642.01,158.31,677.98,8.97,428.34,3,4.46,High,True,True,8.25,True,False
5,East,1330.54,229.91,376.77,71.03,205.76,3,0.63,Medium,True,True,-1.21,True,True
6,West,314.57,253.53,83.48,39.01,370.06,2,11.62,Medium,True,True,8.2,False,False
7,North,1209.84,280.5,193.79,83.77,290.27,3,1.67,Medium,True,False,5.23,False,True
8,North,1301.81,495.78,209.12,94.25,403.93,2,15.87,Low,False,False,7.91,False,True
9,East,436.36,452.78,269.61,41.71,118.89,6,4.32,Low,True,False,-1.03,True,False
10,South,759.45,242.21,78.34,46.06,337.16,4,11.23,Low,True,True,0.68,False,False
11,East,415.15,147.29,638.18,59.01,398.15,5,-3.54,Medium,True,False,4.04,False,False
12,East,1118.59,220.0,385.12,19.71,392.55,1,-1.8,High,False,False,6.31,False,True
13,East,895.95,789.07,486.11,92.73,483.62,7,20.71,Medium,True,False,9.74,True,False
14,East,1025.92,427.98,93.66,43.3,76.29,7,18.27,Medium,True,False,-3.97,True,True
15,West,455.43,707.14,85.18,16.68,205.6,5,-1.44,Low,True,True,3.13,False,False
16,North,475.27,694.13,431.2,76.27,264.45,5,4.74,High,False,True,3.22,True,False
17,West,253.95,458.06,626.74,21.92,189.39,6,1.07,Medium,False,False,8.59,False,False
18,West,618.69,594.68,393.51,14.35,189.41,7,29.87,Medium,True,False,-1.46,True,False
19,West,927.67,234.93,620.58,56.29,129.26,5,8.24,High,True,True,-2.61,False,False
20,East,1315.32,581.88,577.14,67.15,415.83,1,10.3,Low,True,False,2.24,True,True
21,South,1067.01,290.67,99.3,56.96,458.63,2,23.24,Medium,True,False,5.89,True,True
22,North,766.02,682.44,181.27,65.65,87.05,4,6.28,Low,True,False,9.58,False,False
23,South,1439.06,158.61,477.51,11.55,119.7,6,8.89,High,True,False,3.58,True,True
24,West,1135.02,641.2,338.28,47.6,152.8,1,29.9,Low,True,False,5.88,True,True
25,West,1409.21,169.96,238.95,35.7,279.04,7,29.73,Low,True,True,-0.82,True,True
26,South,885.86,716.83,322.11,97.34,406.03,4,20.23,Medium,False,False,5.15,True,False
27,South,536.58,312.94,339.38,4.96,82.15,2,17.95,Low,True,True,-1.36,False,False
28,South,268.67,558.08,641.86,29.83,336.57,4,-0.95,Medium,True,True,2.43,True,False
29,West,1143.91,441.25,117.25,94.19,117.2,2,13.66,Medium,True,False,-4.3,False,True
30,West,357.69,356.41,231.82,98.35,487.16,7,3.72,Low,True,False,-0.15,False,False
31,North,593.61,551.81,399.42,82.49,454.45,1,26.49,High,True,True,6.73,False,False
32,North,892.21,763.27,503.89,7.6,477.31,1,21.4,Medium,True,True,-3.98,True,False
33,West,933.74,128.89,459.91,56.14,97.77,7,8.88,Low,True,False,-0.22,True,False
34,South,980.76,743.2,662.07,40.01,269.62,7,16.75,Medium,True,True,-2.44,True,False
35,South,416.13,526.36,567.15,80.65,124.36,4,11.05,Medium,True,True,4.41,True,False
36,North,693.66,665.12,412.1,5.5,320.16,6,-2.68,Low,False,False,6.16,True,False
37,West,1002.35,368.71,189.54,19.71,154.73,4,29.04,Medium,True,False,-3.35,False,True
38,North,1460.76,430.29,343.07,48.92,396.78,5,34.91,Low,True,True,2.84,False,True
39,North,1145.92,708.2,500.7,15.76,339.8,5,36.52,Medium,True,False,5.22,True,True
40,East,1399.38,390.39,594.68,69.27,307.22,4,29.46,High,True,True,9.85,True,True
41,East,1190.88,474.26,673.83,82.08,421.35,5,31.08,Low,True,True,-1.73,True,True
42,East,969.23,114.14,443.54,70.45,275.12,7,-7.21,High,True,False,-3.9,False,False
43,South,449.63,211.02,392.5,44.03,171.43,4,29.09,Low,True,True,-1.13,False,False
44,West,1066.69,549.18,61.5,87.84,329.32,3,5.17,Low,True,True,3.41,False,True
45,West,1010.39,601.88,96.86,13.77,480.68,5,-3.11,Medium,True,True,4.5,False,True
46,West,983.21,507.82,151.47,26.03,320.52,7,16.09,Low,False,False,0.68,False,False
47,West,836.72,200.32,85.59,48.95,333.33,4,18.52,Low,False,True,1.51,True,False
48,East,887.25,411.78,310.56,6.13,470.64,3,14.24,Medium,True,True,3.22,True,False
49,South,634.78,348.57,268.97,9.57,281.87,7,22.64,Low,True,True,-2.67,False,False
50,South,875.11,446.96,464.28,39.74,498.36,5,25.71,Medium,True,True,9.43,False,False
51,East,456.82,709.23,398.18,94.39,121.85,1,-3.14,Medium,False,True,5.1,True,False
52,South,1246.73,643.1,437.38,90.84,291.67,4,20.85,Low,True,True,2.82,False,True
53,East,441.51,158.79,356.79,46.6,145.81,1,-7.28,High,True,False,5.98,True,False
54,West,310.46,723.22,230.53,14.22,254.0,6,12.44,Low,True,True,-3.51,False,False
55,East,767.12,430.24,669.34,17.81,126.76,5,-5.0,Low,True,True,6.8,False,False
56,West,1055.8,620.7,106.17,37.75,150.14,6,12.48,High,True,False,-2.11,False,True
57,West,769.03,198.03,660.28,21.01,144.86,3,-1.23,Medium,True,True,-3.8,True,False
58,North,559.78,569.5,252.3,8.3,194.01,4,26.72,Medium,True,True,8.27,True,False
59,East,925.62,265.43,383.23,67.38,110.57,3,34.98,Medium,True,True,5.54,False,False
60,North,651.1,406.87,120.75,58.14,414.2,7,-1.52,Medium,False,True,-4.43,False,False
61,East,1412.73,111.8,96.11,29.13,149.3,1,26.83,Medium,True,False,8.97,False,True
62,East,1399.44,206.13,329.2,77.89,237.46,4,-2.69,Medium,False,True,9.97,False,True
63,North,853.08,164.46,532.1,77.59,57.23,6,11.69,High,True,False,4.28,False,False
64,North,626.25,267.82,225.09,49.1,97.2,1,21.28,Medium,True,True,-2.8,True,False
65,East,1158.27,170.01,415.53,9.65,453.32,1,16.89,High,False,True,2.74,False,True
66,South,247.73,584.34,231.12,91.85,426.72,3,-7.14,High,True,False,5.16,True,False
67,West,817.2,120.33,302.6,66.87,428.42,6,8.13,Low,True,True,-2.22,True,False
68,North,637.22,532.42,639.19,24.71,235.11,5,13.51,Medium,True,True,0.81,True,False
69,West,1396.7,198.5,606.3,61.05,113.69,6,9.57,Low,True,True,-3.37,False,True
70,South,215.6,761.61,385.41,40.5,98.55,1,23.27,Low,True,True,3.71,True,False
71,South,918.66,753.17,204.77,63.53,322.52,7,34.41,High,True,True,0.15,False,False
72,South,1162.86,257.85,175.57,47.39,422.69,1,23.38,High,False,False,0.29,False,True
73,North,830.52,530.09,670.16,48.55,455.05,2,19.5,High,True,True,1.9,False,False
74,South,311.02,119.6,181.77,73.59,179.93,3,-2.55,Medium,False,False,-1.21,False,False
75,North,1464.2,752.25,575.31,61.37,194.46,1,7.44,Medium,True,True,4.25,True,True
76,South,873.41,466.09,289.83,8.0,95.39,6,17.41,Medium,True,False,5.07,False,False
77,West,998.44,130.26,690.68,6.54,398.48,2,36.7,High,True,False,-1.23,True,False
78,West,507.59,339.75,289.3,30.5,174.06,7,5.24,Low,False,True,6.56,True,False
79,East,828.55,153.79,278.49,43.02,266.42,3,6.9,Medium,False,True,-4.2,True,False
80,West,757.89,375.06,464.35,27.52,468.0,4,19.48,Medium,True,True,5.38,True,False
81,East,297.36,568.95,674.99,65.15,388.5,5,34.99,High,True,False,1.52,True,False
82,West,338.01,428.92,684.54,19.51,73.73,3,17.16,Low,False,False,4.33,True,False
83,North,1288.71,368.61,509.68,70.41,53.67,1,-1.28,Medium,True,False,0.97,False,True
84,West,511.77,183.41,540.49,77.32,404.33,2,-6.23,High,False,False,0.67,True,False
85,East,453.45,271.46,416.21,12.43,298.63,7,34.45,Medium,True,True,-2.84,False,False
86,East,856.38,170.1,541.25,65.08,374.15,2,23.5,Low,True,False,5.69,True,False
87,South,1199.37,665.25,608.86,96.14,120.57,4,1.03,Medium,False,False,-0.5,False,True
88,North,280.53,194.67,365.96,19.28,442.42,2,26.23,Low,False,False,1.45,False,False
89,West,949.85,516.76,452.91,90.93,398.0,1,25.98,Medium,True,True,6.37,False,False
90,South,354.97,339.92,399.26,60.6,450.88,3,28.61,Medium,True,True,-1.55,False,False
91,West,247.4,258.18,415.61,59.09,203.49,4,34.61,High,True,True,1.76,True,False
92,West,268.57,547.63,628.53,5.19,174.07,5,-2.4,Low,False,True,-0.21,True,False
93,South,1284.41,419.9,281.15,74.83,118.28,7,37.84,Low,False,False,5.73,False,True
94,South,353.36,380.1,185.32,47.83,468.54,5,39.93,Medium,True,True,9.44,False,False
95,South,258.7,515.0,346.58,72.12,129.57,1,-9.28,Medium,False,True,9.26,True,False
96,South,769.27,443.89,185.26,80.92,103.69,4,-5.43,Medium,True,False,2.46,True,False
97,South,1297.19,312.44,373.96,52.38,136.71,4,11.7,High,False,False,-2.46,False,True
98,West,541.13,491.34,637.28,26.36,397.12,1,-8.28,Medium,False,True,9.49,True,False
99,South,748.23,568.65,451.33,14.16,450.29,6,26.74,Low,True,True,8.37,False,False
100,North,251.9,118.69,606.03,16.05,414.91,4,22.54,Medium,True,True,-2.62,True,False
101,East,783.8,426.11,158.02,86.69,303.46,7,28.79,Medium,True,True,-0.9,False,False
102,South,950.9,140.38,635.57,12.36,497.25,2,39.92,Medium,True,False,-3.34,False,False
103,South,942.18,230.48,441.16,38.47,80.98,2,36.67,Medium,True,True,9.34,True,False
104,West,632.15,492.36,70.64,33.43,440.24,1,4.99,High,True,True,-3.94,False,False
105,South,610.19,706.33,461.53,86.55,242.47,1,9.82,High,False,True,0.91,True,False
106,South,338.61,717.96,668.41,47.77,254.81,2,28.8,High,True,True,7.57,False,False
107,South,676.84,148.96,101.46,99.64,107.42,3,9.41,Low,True,False,3.15,False,False
108,West,329.34,393.37,428.6,73.71,65.04,1,24.93,High,False,True,2.75,False,False
109,South,1196.57,508.1,645.06,85.09,192.48,2,35.93,High,True,True,0.75,False,True
110,East,1456.16,202.95,56.3,9.87,128.68,3,10.29,Medium,True,True,-4.87,True,True
111,West,1461.1,635.8,460.09,25.31,267.5,3,18.03,High,True,True,-2.76,True,True
112,East,1324.59,620.96,358.69,13.54,116.3,6,32.07,Low,False,True,3.66,False,True
113,West,981.03,732.34,275.54,46.36,112.07,2,13.88,Medium,True,True,7.03,False,False
114,South,1111.13,105.94,457.9,71.83,444.64,7,4.46,Low,True,True,4.71,False,True
115,East,570.77,251.68,84.26,16.91,464.58,7,2.91,Medium,False,True,6.4,False,False
116,West,1020.0,679.03,539.49,13.02,483.9,6,-6.41,Medium,True,True,-1.9,False,True
117,North,792.34,569.41,52.91,61.46,356.23,2,6.52,Low,True,True,3.44,True,False
118,South,826.62,726.07,249.51,23.03,396.96,4,24.29,Low,True,False,0.56,False,False
119,West,1185.11,140.03,377.57,47.93,426.1,3,-7.06,Low,True,True,0.02,False,True
120,North,566.49,517.87,295.06,5.11,346.51,5,3.71,Medium,False,True,1.37,True,False
121,West,613.45,498.33,249.86,68.06,198.61,4,-4.42,Low,True,False,8.07,True,False
122,North,1402.03,124.97,590.04,54.13,120.37,4,10.22,High,True,False,8.28,False,True
123,South,273.09,459.47,657.64,64.74,156.77,3,-5.33,Medium,True,False,6.83,False,False
124,East,831.32,526.66,617.91,27.54,428.19,7,27.3,Medium,True,True,0.64,False,False
125,North,1386.64,233.91,389.58,27.86,363.24,3,36.4,Low,True,True,-4.63,False,True
126,West,993.47,291.33,624.71,80.14,255.11,3,-0.38,Low,True,False,0.51,False,False
127,South,910.33,548.24,648.56,71.86,63.23,1,2.53,Low,False,True,7.38,False,False
128,North,524.67,427.81,316.0,57.97,169.79,2,-1.99,Low,True,True,-3.53,False,False
129,West,646.26,700.61,234.24,62.81,378.0,7,-0.63,Medium,False,True,5.03,False,False
130,West,1307.66,339.67,113.87,9.4,280.57,6,5.58,Medium,False,False,7.88,False,True
131,West,926.98,286.66,361.41,85.62,245.99,2,4.06,Medium,False,False,2.02,False,False
132,North,869.16,789.41,665.09,76.99,191.16,2,9.26,Medium,False,True,-4.37,False,False
133,North,329.45,737.8,414.59,59.05,323.12,3,16.25,Medium,True,True,2.55,True,False
134,North,220.84,120.29,483.92,91.86,484.87,4,26.38,Medium,True,False,5.39,True,False
135,East,1452.79,639.51,123.37,16.86,455.51,3,34.22,Low,True,False,4.85,False,True
136,North,690.08,177.23,143.29,68.67,63.72,3,12.97,Medium,False,False,2.68,False,False
137,North,984.18,119.24,351.91,96.3,266.43,4,35.45,Low,False,True,4.04,False,False
138,North,303.63,291.59,668.32,31.0,198.26,5,23.99,High,False,True,-0.85,False,False
139,East,1088.05,288.54,284.51,1.53,279.77,6,26.45,Medium,True,True,-1.81,False,True
140,North,1412.34,673.52,620.36,73.49,322.8,1,16.11,Low,False,False,8.3,False,True
141,West,948.36,597.47,128.19,0.7,140.01,5,16.16,Low,True,True,-0.67,True,False
142,North,363.95,787.13,451.06,87.25,401.71,3,16.6,High,True,False,5.39,False,False
143,West,956.24,598.06,440.4,5.63,263.78,2,14.6,Low,True,True,-2.24,False,False
144,West,1196.25,392.78,608.92,65.28,496.4,2,12.94,Low,True,True,1.45,True,True
145,West,728.34,589.25,52.16,37.72,61.31,4,28.73,Medium,False,True,-2.87,False,False
146,East,1343.79,799.62,173.46,20.33,135.37,3,9.38,Medium,False,True,-0.58,False,True
147,East,1043.29,597.1,192.8,89.83,360.33,7,0.34,High,True,True,-2.31,False,True
148,East,1369.02,633.18,667.48,74.62,362.83,4,-3.22,Medium,False,True,9.34,True,True
149,North,1010.56,756.86,149.9,34.04,311.98,4,33.98,High,True,True,-4.76,False,True
150,West,370.67,179.56,74.03,28.42,487.38,1,33.14,Medium,True,True,0.22,False,False
151,East,602.6,593.35,397.4,73.6,236.89,4,2.18,Low,True,False,4.44,True,False
